priority,slug,name,entity_type,wine_color,style,country,region,grape_varieties,sweetness,body,acidity,tannin,oak,alcohol,intensity,primary_notes,pedagogical_role,recommended_pairings,availability_note,source_url
1,catena-malbec,Catena Malbec,wine,red,Argentine Malbec,Argentina,Mendoza,Malbec,dry,medium_plus,medium,medium,medium,medium_plus,medium_plus,black plum; blackberry; violet; spice; subtle oak,"Canonical LATAM red; teaches body, ripe fruit, moderate tannin, red meat pairings",grilled beef; pork; pasta with meat sauce; aged cheese,Listed in Colombia retail examples such as Carulla,https://www.carulla.com/vino-tinto-malbec-catena-x-750ml-518133/p
2,1865-cabernet-sauvignon,1865 Cabernet Sauvignon,wine,red,Chilean Cabernet Sauvignon,Chile,Maipo Valley / Chile,Cabernet Sauvignon,dry,full,medium,high,medium_plus,medium_plus,high,blackcurrant; cassis; cedar; tobacco; spice,Classic tannic red; teaches tannin plus protein/fat interaction,grilled steak; lamb; short ribs; aged hard cheese,Listed in Colombia retail examples such as Dislicores,https://www.dislicores.com/vino-tinto-1865-cabernet-sauvignon-ref100218/p
3,castillo-de-molina-sauvignon-blanc,Castillo de Molina Sauvignon Blanc Reserva,wine,white,Chilean Sauvignon Blanc,Chile,Central Valley / Chile,Sauvignon Blanc,dry,light,high,none,none,medium,medium_plus,citrus; grapefruit; herbs; green apple; tropical fruit,"High-acid herbaceous white; teaches acid, freshness, seafood and ceviche pairings",ceviche; fresh cheese; salads; white fish; shellfish,Listed in Colombia retail examples such as Dislicores,https://www.dislicores.com/vino-blanco-castillo-de-molina-sauvignon-blanc-reserva-ref100073/p
4,enate-chardonnay,Enate Chardonnay,wine,white,Spanish Chardonnay,Spain,Somontano,Chardonnay,dry,medium_plus,medium,none,medium,medium_plus,medium_plus,ripe apple; pineapple; butter; vanilla; toasted notes,"Textural white; teaches body, creaminess and oak in white wine",salmon; roasted chicken; creamy pasta; risotto,Listed in Colombia retail examples such as Dislicores,https://www.dislicores.com/vino-blanco-enate-chardonnay---ref259001/p
5,leyda-pinot-noir,Leyda Pinot Noir,wine,red,Cool-climate Chilean Pinot Noir,Chile,Leyda Valley,Pinot Noir,dry,medium,medium_plus,low,low_medium,medium,medium,cherry; raspberry; spice; earth; floral notes,"Light red; teaches lower tannin, acidity and versatility with poultry/fish",salmon; pork; mushroom risotto; roasted chicken,Listed in Colombia retail examples such as Dislicores,https://www.dislicores.com/vino-tinto-leyda-pinot-noir-ref121090/p
6,mionetto-prosecco-brut,Mionetto Prosecco Brut,wine,sparkling_white,Prosecco Brut,Italy,Veneto,Glera,brut,light,medium_plus,none,none,medium_low,medium,green apple; pear; white flowers; citrus; bubbles,"Sparkling wine; teaches bubbles, freshness, fried food and aperitif pairings",fried appetizers; seafood; ceviche; fresh cheese; salty snacks,Listed in Colombia retail examples such as Dislicores,https://www.dislicores.com/vino-espumoso-prosecco-mionetto-brut-glera-ref140015/p
7,pazo-barrantes-albarino,Pazo Barrantes Albariño,wine,white,Rías Baixas Albariño,Spain,Rías Baixas,Albariño,dry,medium,high,none,none_low,medium,medium_plus,citrus; peach; white flowers; saline; mineral,"High-acid coastal white; teaches salinity, seafood and acid-driven pairings",ceviche; shellfish; grilled fish; fresh cheese,Listed in Colombia retail examples such as Dislicores,https://www.dislicores.com/vino-blanco-pazo-barrantes-albarino-ref806001/p
8,ramon-bilbao-crianza,Ramón Bilbao Crianza,wine,red,Rioja Crianza,Spain,Rioja,Tempranillo,dry,medium,medium,medium,medium,medium_plus,medium_plus,red cherry; plum; vanilla; spice; leather,"Classic Old World red; teaches oak, crianza, red fruit and balanced tannin",lamb; pork; manchego; roasted vegetables; tomato-based dishes,Listed in Colombia retail examples such as Dislicores,https://www.dislicores.com/vino-tinto-ramon-bilbao-crianza-tempranillo-ref147000/p
9,piccini-chianti-riserva,Piccini Chianti Riserva,wine,red,Chianti Riserva,Italy,Tuscany,Sangiovese dominant blend,dry,medium,medium_plus,medium,medium,medium,medium_plus,sour cherry; dried herbs; tomato leaf; leather; spice,Acidic red; teaches why Sangiovese works with tomato and savory dishes,pasta with tomato sauce; pizza; pork; aged cheese,Listed in Colombia retail examples such as Dislicores,https://www.dislicores.com/vino-tinto-docg-piccini-chianti-ref153031/p
10,gato-negro-blanco-dulce,Gato Negro Blanco Dulce,wine,white,Sweet white wine,Chile,Chile,White blend,sweet,light_medium,medium,none,none,medium_low,medium,peach; tropical fruit; honeyed fruit; floral notes,Accessible sweet wine; teaches dessert pairings and sweetness matching,fruit desserts; mild spicy dishes; blue cheese; pastries,Listed in Colombia retail examples such as Dislicores,https://www.dislicores.com/vino-gato-negro-blanco-dulce-referencia100515/p
11,garzon-marselan-reserva,Garzón Marselan Reserva,wine,red,Uruguayan Marselan,Uruguay,Maldonado,Marselan,dry,medium_plus,medium,medium,medium,medium_plus,medium_plus,red fruit; mineral; mint; eucalyptus; spice,LATAM regional bonus; teaches lesser-known grape and modern restaurant-list diversity,grilled meats; lamb; roasted vegetables; semi-hard cheese,Seen in Colombia specialty retail examples such as Vinos El Kiosco,https://www.vinoselkiosco.com/tienda/marselan-reserva/
